Time,SpO2,PULSE,PI,Note
2020-02-18 20:31:45,97%,57Beats/Min,12.4,
2020-02-17 18:03:53,96%,66Beats/Min,15.0,
2020-02-16 11:38:10,97%,57Beats/Min,6.0,
2020-02-14 17:57:12,96%,80Beats/Min,13.9,
2020-02-13 20:10:26,96%,70Beats/Min,8.5,
2020-02-11 18:05:40,98%,64Beats/Min,3.6,
2020-02-09 12:45:52,99%,69Beats/Min,2.0,
2020-02-08 17:44:48,98%,59Beats/Min,1.6,
2020-02-08 13:03:47,96%,65Beats/Min,3.2,
2020-02-08 11:54:15,95%,67Beats/Min,6.5,
2020-02-08 06:53:54,98%,67Beats/Min,3.5,
2020-02-07 17:01:30,98%,95Beats/Min,7.6,
2020-01-24 07:29:09,97%,81Beats/Min,2.5,
2020-01-17 17:04:06,98%,83Beats/Min,1.8,
2020-01-15 07:25:24,99%,71Beats/Min,1.3,
2020-01-14 21:31:58,98%,73Beats/Min,14.3,
2020-01-08 09:59:02,98%,84Beats/Min,3.2,
2020-01-07 13:18:12,99%,74Beats/Min,3.3,
2019-12-28 20:21:43,98%,68Beats/Min,5.4,
2019-12-26 08:35:07,99%,67Beats/Min,2.0,
2019-12-25 20:48:52,97%,77Beats/Min,12.8,
2019-12-25 08:07:53,99%,60Beats/Min,2.3,
2019-12-24 19:48:22,96%,94Beats/Min,7.8,
2019-12-23 18:42:39,96%,97Beats/Min,9.7,
2019-12-21 20:50:33,97%,56Beats/Min,14.0,
2019-12-20 21:20:58,97%,74Beats/Min,9.4,
2019-12-18 21:16:27,98%,61Beats/Min,3.4,
2019-12-15 20:08:26,98%,69Beats/Min,5.2,
2019-12-13 20:01:45,97%,83Beats/Min,2.8,
2019-12-13 20:01:29,94%,81Beats/Min,8.6,
2019-12-12 09:36:36,99%,63Beats/Min,1.3,
2019-12-11 19:00:06,97%,80Beats/Min,7.1,
2019-12-10 18:36:07,98%,63Beats/Min,3.7,
2019-12-08 11:46:12,98%,61Beats/Min,6.6,
2019-12-07 16:45:01,97%,55Beats/Min,6.6,
2019-12-06 17:30:53,97%,79Beats/Min,4.1,
2019-12-05 06:49:47,99%,83Beats/Min,2.0,
2019-12-02 11:41:53,99%,62Beats/Min,1.3,
2019-12-01 20:07:08,97%,71Beats/Min,13.0,
2019-12-01 17:43:10,96%,85Beats/Min,4.6,
2019-11-30 21:13:46,97%,58Beats/Min,8.5,
2019-11-29 18:11:27,96%,54Beats/Min,18.0,
2019-11-28 21:08:27,96%,68Beats/Min,8.7,
2019-11-27 20:37:46,97%,59Beats/Min,8.7,
2019-11-26 19:41:35,96%,67Beats/Min,11.2,
2019-11-26 19:41:16,96%,63Beats/Min,9.0,
2019-11-25 09:36:16,99%,68Beats/Min,1.6,
2019-11-24 12:37:13,99%,67Beats/Min,2.2,
2019-11-23 14:00:06,99%,77Beats/Min,1.3,
2019-11-23 08:19:42,98%,80Beats/Min,2.4,
2019-11-22 17:47:41,96%,74Beats/Min,8.7,
2019-11-21 18:35:55,97%,84Beats/Min,8.8,
2019-11-21 14:28:13,96%,74Beats/Min,20.5,
2019-11-20 11:23:39,99%,69Beats/Min,2.0,
2019-11-19 18:07:15,97%,79Beats/Min,9.2,
2019-11-19 13:39:15,99%,71Beats/Min,2.9,
2019-11-19 08:53:01,98%,66Beats/Min,2.2,
2019-11-18 07:52:18,98%,119Beats/Min,3.3,
2019-11-17 21:22:36,97%,72Beats/Min,6.2,
2019-11-15 18:32:25,99%,54Beats/Min,1.0,
2019-11-15 07:07:26,99%,64Beats/Min,1.1,
2019-11-14 21:43:23,96%,68Beats/Min,6.2,
2019-11-11 06:54:20,98%,92Beats/Min,5.1,
2019-11-10 10:15:35,98%,73Beats/Min,2.0,
2019-11-09 20:27:06,96%,59Beats/Min,21.0,
2019-11-09 09:56:01,97%,64Beats/Min,5.7,
2019-11-08 14:47:26,96%,123Beats/Min,4.5,
2019-11-08 06:59:58,98%,93Beats/Min,1.5,
2019-11-07 06:30:19,99%,73Beats/Min,1.6,
2019-11-06 07:29:47,96%,78Beats/Min,7.5,
2019-11-05 21:15:16,98%,74Beats/Min,6.7,
2019-11-03 08:01:41,98%,65Beats/Min,3.4,
2019-11-02 06:45:12,98%,70Beats/Min,3.1,
2019-11-01 15:50:35,98%,83Beats/Min,2.8,
2019-11-01 05:47:27,97%,60Beats/Min,5.7,
2019-10-31 07:00:15,99%,74Beats/Min,1.1,
2019-10-30 14:21:48,99%,72Beats/Min,3.2,
2019-10-29 06:47:45,98%,74Beats/Min,2.1,
2019-10-28 06:40:42,98%,65Beats/Min,1.2,
2019-10-28 06:39:56,98%,74Beats/Min,1.6,
2019-10-27 19:39:13,95%,61Beats/Min,8.5,
2019-10-27 08:18:18,99%,58Beats/Min,2.4,
2019-10-26 21:59:31,99%,53Beats/Min,5.4,
2019-10-25 17:23:50,97%,69Beats/Min,15.8,
2019-10-24 21:33:27,96%,63Beats/Min,11.6,
2019-10-23 07:31:55,97%,88Beats/Min,4.7,
2019-10-22 17:09:46,97%,53Beats/Min,1.0,
2019-10-22 05:51:56,97%,76Beats/Min,3.5,
2019-10-22 05:51:26,97%,78Beats/Min,10.3,
2019-10-21 22:06:26,97%,68Beats/Min,9.2,
2019-10-21 16:47:46,97%,67Beats/Min,7.9,
2019-10-21 14:32:33,97%,74Beats/Min,2.9,
2019-10-21 06:21:44,98%,86Beats/Min,2.7,
2019-10-20 14:07:41,97%,76Beats/Min,4.2,
2019-10-19 08:55:30,96%,74Beats/Min,4.1,
2019-10-18 07:07:30,96%,65Beats/Min,6.8,
2019-10-17 07:41:21,99%,85Beats/Min,1.4,
2019-10-16 22:05:20,98%,61Beats/Min,4.9,
2019-10-08 07:05:32,98%,90Beats/Min,5.7,
2019-10-07 07:47:56,98%,84Beats/Min,8.0,
2019-10-06 06:59:10,99%,87Beats/Min,2.1,
2019-09-29 17:47:28,97%,74Beats/Min,9.5,
2019-09-22 06:52:58,98%,95Beats/Min,2.3,
2019-09-21 09:24:18,97%,61Beats/Min,8.5,
2019-09-20 06:53:00,97%,70Beats/Min,5.4,
2019-09-18 09:49:36,98%,81Beats/Min,5.5,
2019-09-16 07:20:34,98%,65Beats/Min,7.9,
2019-09-15 07:09:01,97%,48Beats/Min,8.9,
2019-09-14 15:20:56,97%,63Beats/Min,7.9,
2019-09-13 06:54:02,96%,67Beats/Min,12.3,
2019-09-11 10:20:00,98%,60Beats/Min,5.7,
2019-09-10 07:11:34,98%,78Beats/Min,3.8,
2019-09-09 08:45:24,97%,62Beats/Min,2.1,
2019-09-08 07:19:50,98%,76Beats/Min,2.0,
2019-09-07 09:29:59,99%,67Beats/Min,5.4,
2019-09-04 07:13:49,97%,69Beats/Min,11.5,
2019-09-03 20:16:55,97%,78Beats/Min,8.0,
2019-09-02 06:47:33,97%,71Beats/Min,6.8,
2019-09-01 11:38:52,99%,79Beats/Min,2.9,
2019-08-31 07:44:44,95%,65Beats/Min,9.9,
2019-08-31 07:44:14,93%,71Beats/Min,6.0,
2019-08-30 13:59:11,98%,58Beats/Min,6.2,
2019-08-29 20:30:53,97%,71Beats/Min,9.9,
2019-08-29 17:20:27,96%,61Beats/Min,13.2,
2019-08-29 07:51:40,96%,65Beats/Min,6.2,
2019-08-28 06:47:54,97%,67Beats/Min,6.5,
2019-08-27 20:53:50,96%,75Beats/Min,10.3,
2019-08-27 18:18:37,97%,69Beats/Min,12.3,
2019-08-27 16:17:47,96%,74Beats/Min,12.7,
2019-08-27 06:42:59,97%,68Beats/Min,3.7,
2019-08-26 21:51:15,98%,78Beats/Min,5.9,
2019-08-26 17:50:56,95%,99Beats/Min,4.7,
2019-08-26 07:03:04,96%,68Beats/Min,4.2,
2019-08-25 18:10:10,96%,98Beats/Min,7.9,
2019-08-25 17:51:10,90%,88Beats/Min,2.6,
2019-08-25 16:28:45,92%,123Beats/Min,4.8,
2019-08-25 14:35:20,96%,93Beats/Min,9.4,
2019-08-25 10:33:51,97%,61Beats/Min,7.9,
2019-08-25 06:27:50,97%,67Beats/Min,3.2,
2019-08-24 20:26:52,97%,64Beats/Min,10.0,
2019-08-24 17:48:52,95%,72Beats/Min,8.8,
2019-08-24 13:39:46,94%,101Beats/Min,2.2,
2019-08-24 12:32:57,95%,86Beats/Min,11.6,
2019-08-24 12:32:37,93%,87Beats/Min,7.2,
2019-08-24 11:47:24,95%,126Beats/Min,11.3,
2019-08-24 11:31:02,95%,138Beats/Min,12.6,
2019-08-24 10:55:46,97%,119Beats/Min,6.9,
2019-08-24 09:51:12,95%,60Beats/Min,8.7,
2019-08-24 08:25:27,95%,77Beats/Min,4.3,
2019-08-24 07:53:09,94%,70Beats/Min,4.7,
2019-08-24 07:14:43,92%,71Beats/Min,6.7,
2019-08-23 18:35:22,96%,89Beats/Min,9.4,
2019-08-23 15:23:28,96%,75Beats/Min,8.3,
2019-08-23 12:12:41,98%,59Beats/Min,15.5,
2019-08-23 09:40:24,96%,69Beats/Min,6.5,
2019-08-23 07:40:26,94%,75Beats/Min,6.4,
2019-08-23 06:25:52,95%,51Beats/Min,8.8,
2019-08-22 20:59:12,98%,63Beats/Min,11.1,Test1
